Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
3,0.017,0.025,0.017,0.024,0.029,0.024,0.032,0.02,0.024,0.023
13,0.028,0.031,0.031,0.026,0.024,0.033,0.029,0.026,0.028,0.024
23,0.042,0.04,0.039,0.044,0.037,0.036,0.022,0.045,0.034,0.045
33,0.043,0.045,0.033,0.054,0.059,0.05,0.048,0.044,0.051,0.055
43,0.031,0.043,0.041,0.05,0.055,0.041,0.055,0.068,0.049,0.062
53,0.069,0.06,0.055,0.046,0.063,0.055,0.047,0.053,0.047,0.053
63,0.065,0.07,0.074,0.066,0.058,0.077,0.08,0.058,0.08,0.064
73,0.073,0.087,0.07,0.075,0.082,0.062,0.085,0.062,0.064,0.07
83,0.05,0.085,0.072,0.065,0.069,0.078,0.067,0.064,0.074,0.084
93,0.076,0.106,0.064,0.089,0.085,0.069,0.089,0.078,0.079,0.068
103,0.075,0.083,0.083,0.07,0.074,0.068,0.074,0.079,0.083,0.076
113,0.072,0.089,0.08,0.074,0.089,0.08,0.093,0.077,0.081,0.061
123,0.079,0.077,0.079,0.092,0.091,0.086,0.078,0.094,0.083,0.092
133,0.109,0.096,0.109,0.09,0.09,0.099,0.089,0.067,0.09,0.092
143,0.095,0.088,0.097,0.087,0.086,0.084,0.099,0.092,0.083,0.087
153,0.11,0.079,0.101,0.103,0.094,0.102,0.094,0.085,0.092,0.095
163,0.11,0.097,0.106,0.094,0.088,0.103,0.091,0.093,0.1,0.091
173,0.099,0.09,0.108,0.091,0.114,0.097,0.112,0.093,0.093,0.077
183,0.109,0.112,0.126,0.119,0.098,0.108,0.109,0.09,0.099,0.104
193,0.103,0.104,0.11,0.107,0.094,0.099,0.112,0.104,0.129,0.113
203,0.105,0.109,0.114,0.093,0.117,0.107,0.115,0.096,0.107,0.113
213,0.102,0.11,0.124,0.119,0.1,0.123,0.126,0.119,0.102,0.126
223,0.12,0.119,0.131,0.117,0.124,0.123,0.114,0.134,0.116,0.109
233,0.107,0.11,0.114,0.126,0.123,0.122,0.12,0.111,0.107,0.137
243,0.111,0.098,0.146,0.134,0.146,0.132,0.122,0.122,0.131,0.121
253,0.136,0.112,0.117,0.137,0.126,0.112,0.128,0.116,0.122,0.114
263,0.128,0.132,0.122,0.128,0.11,0.137,0.117,0.129,0.125,0.111
273,0.131,0.131,0.148,0.132,0.127,0.148,0.131,0.119,0.109,0.125
283,0.137,0.119,0.135,0.16,0.146,0.149,0.141,0.142,0.14,0.14
293,0.146,0.14,0.14,0.139,0.113,0.126,0.129,0.151,0.139,0.158
303,0.139,0.135,0.124,0.123,0.131,0.145,0.137,0.132,0.142,0.145
