Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
3,0.876,0.879,0.882,0.894,0.877,0.878,0.876,0.866,0.877,0.881
13,0.423,0.411,0.439,0.404,0.397,0.415,0.385,0.416,0.414,0.426
23,0.297,0.31,0.307,0.298,0.299,0.274,0.293,0.271,0.303,0.337
33,0.29,0.243,0.244,0.264,0.235,0.27,0.24,0.261,0.23,0.252
43,0.206,0.229,0.214,0.223,0.218,0.215,0.215,0.217,0.238,0.22
53,0.204,0.203,0.199,0.173,0.205,0.179,0.209,0.197,0.186,0.211
63,0.165,0.172,0.169,0.197,0.191,0.161,0.173,0.172,0.173,0.191
73,0.159,0.157,0.169,0.173,0.174,0.161,0.164,0.169,0.194,0.171
83,0.176,0.154,0.156,0.169,0.17,0.156,0.161,0.158,0.16,0.163
93,0.184,0.125,0.149,0.163,0.144,0.138,0.136,0.154,0.14,0.152
103,0.134,0.142,0.142,0.137,0.138,0.124,0.125,0.155,0.134,0.123
113,0.13,0.12,0.132,0.139,0.127,0.132,0.135,0.131,0.125,0.132
123,0.123,0.114,0.125,0.116,0.119,0.119,0.124,0.119,0.132,0.145
133,0.119,0.124,0.126,0.119,0.123,0.14,0.119,0.131,0.117,0.106
143,0.111,0.125,0.116,0.119,0.112,0.118,0.124,0.124,0.12,0.134
153,0.153,0.1,0.117,0.102,0.111,0.124,0.124,0.113,0.104,0.106
163,0.086,0.11,0.111,0.115,0.114,0.109,0.092,0.11,0.118,0.106
173,0.098,0.113,0.105,0.099,0.121,0.103,0.119,0.114,0.093,0.092
183,0.097,0.113,0.083,0.1,0.085,0.115,0.092,0.109,0.106,0.108
193,0.104,0.091,0.098,0.101,0.112,0.091,0.101,0.116,0.112,0.125
203,0.09,0.097,0.095,0.104,0.093,0.094,0.09,0.099,0.106,0.097
213,0.103,0.098,0.088,0.09,0.104,0.113,0.089,0.099,0.091,0.117
223,0.222,0.273,0.255,0.277,0.25,0.223,0.245,0.249,0.244,0.265
233,0.282,0.267,0.284,0.263,0.258,0.261,0.257,0.268,0.267,0.286
243,0.25,0.229,0.27,0.27,0.262,0.257,0.262,0.247,0.253,0.261
253,0.253,0.261,0.27,0.239,0.26,0.238,0.314,0.237,0.248,0.243
263,0.24,0.248,0.248,0.26,0.247,0.259,0.27,0.267,0.228,0.278
273,0.249,0.279,0.25,0.244,0.29,0.229,0.266,0.236,0.24,0.256
283,0.238,0.234,0.247,0.244,0.253,0.205,0.257,0.243,0.249,0.228
293,0.261,0.24,0.242,0.247,0.226,0.236,0.25,0.218,0.23,0.248
303,0.243,0.226,0.246,0.218,0.246,0.241,0.271,0.229,0.213,0.24
