Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
5,0.338,0.309,0.316,0.335,0.304,0.326,0.315,0.325,0.339,0.306
15,0.222,0.232,0.204,0.218,0.204,0.22,0.211,0.232,0.215,0.212
25,0.18,0.177,0.16,0.175,0.171,0.152,0.186,0.17,0.186,0.18
35,0.138,0.137,0.129,0.153,0.166,0.15,0.16,0.141,0.137,0.152
45,0.118,0.138,0.133,0.12,0.126,0.125,0.115,0.109,0.129,0.103
55,0.1,0.11,0.124,0.118,0.092,0.101,0.101,0.099,0.121,0.114
65,0.096,0.097,0.119,0.106,0.083,0.114,0.103,0.11,0.086,0.123
75,0.098,0.102,0.098,0.088,0.091,0.072,0.089,0.115,0.088,0.101
85,0.1,0.083,0.089,0.102,0.1,0.089,0.099,0.091,0.078,0.097
95,0.087,0.082,0.078,0.084,0.091,0.096,0.086,0.096,0.097,0.081
