Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
5,0.019,0.011,0.024,0.021,0.022,0.02,0.021,0.008,0.014,0.023
15,0.031,0.03,0.037,0.044,0.026,0.037,0.045,0.033,0.034,0.039
25,0.046,0.038,0.045,0.048,0.035,0.048,0.03,0.051,0.034,0.038
35,0.052,0.068,0.052,0.042,0.052,0.049,0.056,0.051,0.052,0.054
45,0.045,0.061,0.052,0.06,0.063,0.054,0.037,0.054,0.08,0.053
55,0.068,0.058,0.053,0.067,0.07,0.056,0.057,0.061,0.065,0.061
65,0.068,0.055,0.061,0.054,0.069,0.066,0.072,0.063,0.069,0.069
75,0.066,0.072,0.06,0.077,0.062,0.077,0.061,0.076,0.072,0.067
85,0.063,0.077,0.059,0.079,0.061,0.069,0.076,0.079,0.072,0.08
95,0.075,0.07,0.078,0.078,0.085,0.06,0.085,0.07,0.087,0.062
105,0.084,0.078,0.087,0.077,0.101,0.088,0.076,0.08,0.075,0.093
115,0.075,0.087,0.082,0.056,0.097,0.074,0.077,0.078,0.084,0.099
125,0.1,0.077,0.094,0.086,0.092,0.086,0.086,0.087,0.07,0.086
135,0.088,0.089,0.086,0.089,0.102,0.087,0.093,0.087,0.093,0.092
145,0.102,0.094,0.098,0.084,0.098,0.097,0.117,0.092,0.112,0.102
155,0.097,0.109,0.102,0.112,0.089,0.092,0.086,0.102,0.091,0.101
165,0.103,0.112,0.1,0.098,0.099,0.111,0.096,0.096,0.09,0.088
175,0.11,0.095,0.096,0.113,0.105,0.102,0.107,0.119,0.118,0.104
185,0.108,0.105,0.103,0.107,0.115,0.113,0.119,0.112,0.103,0.117
195,0.105,0.107,0.108,0.104,0.11,0.098,0.13,0.116,0.114,0.106
205,0.111,0.136,0.104,0.111,0.104,0.115,0.134,0.106,0.112,0.112
215,0.128,0.107,0.129,0.118,0.113,0.112,0.115,0.148,0.118,0.118
225,0.118,0.128,0.12,0.117,0.118,0.122,0.129,0.115,0.13,0.111
235,0.113,0.107,0.116,0.104,0.123,0.112,0.121,0.111,0.12,0.122
245,0.117,0.138,0.121,0.112,0.119,0.13,0.128,0.124,0.094,0.127
255,0.118,0.135,0.121,0.122,0.13,0.131,0.128,0.126,0.127,0.114
265,0.137,0.133,0.112,0.121,0.13,0.12,0.11,0.132,0.143,0.125
275,0.096,0.145,0.13,0.132,0.127,0.119,0.14,0.139,0.129,0.131
285,0.146,0.14,0.14,0.12,0.123,0.136,0.125,0.132,0.136,0.138
295,0.135,0.138,0.136,0.117,0.145,0.136,0.122,0.144,0.125,0.135
305,0.143,0.133,0.144,0.134,0.134,0.136,0.127,0.128,0.116,0.146
315,0.137,0.119,0.133,0.129,0.145,0.131,0.134,0.131,0.129,0.156
325,0.156,0.144,0.155,0.118,0.137,0.15,0.134,0.136,0.132,0.151
335,0.115,0.141,0.138,0.137,0.152,0.138,0.138,0.159,0.164,0.159
345,0.137,0.152,0.145,0.136,0.132,0.137,0.178,0.136,0.15,0.137
355,0.15,0.144,0.144,0.154,0.144,0.152,0.132,0.138,0.164,0.149
365,0.157,0.135,0.156,0.141,0.141,0.169,0.144,0.136,0.149,0.133
375,0.162,0.151,0.167,0.143,0.15,0.155,0.156,0.142,0.147,0.152
385,0.151,0.138,0.148,0.158,0.152,0.16,0.122,0.163,0.134,0.151
395,0.148,0.155,0.161,0.148,0.158,0.147,0.151,0.17,0.15,0.148
405,0.155,0.151,0.16,0.16,0.153,0.161,0.141,0.175,0.137,0.143
415,0.146,0.14,0.17,0.16,0.157,0.159,0.144,0.151,0.155,0.16
425,0.162,0.174,0.166,0.136,0.169,0.167,0.166,0.148,0.16,0.177
435,0.179,0.164,0.151,0.153,0.16,0.172,0.155,0.147,0.171,0.184
445,0.16,0.16,0.153,0.157,0.172,0.155,0.158,0.173,0.164,0.153
455,0.16,0.147,0.155,0.154,0.156,0.158,0.157,0.158,0.174,0.166
465,0.159,0.177,0.161,0.146,0.174,0.149,0.158,0.183,0.153,0.162
475,0.162,0.164,0.149,0.159,0.169,0.178,0.171,0.163,0.179,0.171
485,0.167,0.162,0.169,0.165,0.137,0.184,0.137,0.161,0.165,0.178
495,0.178,0.184,0.172,0.149,0.176,0.167,0.173,0.159,0.166,0.154
505,0.161,0.149,0.157,0.161,0.143,0.163,0.185,0.161,0.164,0.168
515,0.162,0.167,0.183,0.164,0.169,0.194,0.178,0.172,0.198,0.164
525,0.176,0.178,0.166,0.156,0.157,0.158,0.188,0.167,0.19,0.156
535,0.173,0.16,0.176,0.167,0.182,0.186,0.178,0.159,0.198,0.164
