Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
5,0.285,0.332,0.331,0.317,0.324,0.324,0.315,0.334,0.292,0.31
10,0.272,0.26,0.261,0.233,0.269,0.253,0.269,0.276,0.281,0.27
15,0.209,0.195,0.246,0.215,0.192,0.242,0.23,0.218,0.23,0.234
20,0.185,0.178,0.188,0.173,0.197,0.201,0.178,0.19,0.186,0.176
25,0.147,0.174,0.185,0.168,0.174,0.174,0.167,0.166,0.184,0.167
30,0.176,0.145,0.151,0.145,0.168,0.154,0.135,0.148,0.152,0.153
35,0.137,0.15,0.139,0.143,0.151,0.127,0.146,0.148,0.142,0.129
40,0.16,0.146,0.122,0.129,0.143,0.142,0.13,0.124,0.135,0.133
45,0.122,0.131,0.138,0.128,0.122,0.143,0.114,0.114,0.138,0.139
50,0.098,0.138,0.111,0.122,0.118,0.125,0.12,0.131,0.112,0.108
55,0.112,0.122,0.118,0.108,0.121,0.109,0.114,0.104,0.138,0.094
60,0.111,0.102,0.089,0.132,0.115,0.118,0.11,0.099,0.09,0.102
65,0.105,0.096,0.12,0.106,0.113,0.12,0.107,0.093,0.11,0.101
70,0.102,0.112,0.095,0.096,0.09,0.105,0.101,0.094,0.108,0.098
75,0.102,0.098,0.075,0.101,0.088,0.089,0.083,0.121,0.097,0.097
80,0.091,0.1,0.103,0.094,0.103,0.106,0.11,0.093,0.078,0.097
85,0.074,0.089,0.087,0.072,0.086,0.102,0.098,0.077,0.102,0.09
90,0.102,0.083,0.079,0.095,0.082,0.091,0.081,0.095,0.096,0.087
95,0.09,0.095,0.089,0.09,0.087,0.117,0.089,0.098,0.09,0.093
100,0.094,0.096,0.082,0.096,0.1,0.099,0.083,0.09,0.076,0.088
105,0.087,0.089,0.073,0.089,0.084,0.086,0.079,0.085,0.074,0.076
110,0.095,0.092,0.092,0.063,0.075,0.077,0.068,0.081,0.072,0.088
115,0.08,0.078,0.071,0.08,0.1,0.075,0.086,0.093,0.079,0.086
120,0.071,0.079,0.069,0.08,0.08,0.072,0.063,0.069,0.074,0.066
125,0.061,0.083,0.079,0.072,0.094,0.085,0.086,0.069,0.093,0.063
130,0.073,0.062,0.064,0.084,0.072,0.074,0.078,0.075,0.068,0.075
135,0.078,0.067,0.068,0.063,0.076,0.078,0.078,0.066,0.069,0.076
140,0.067,0.071,0.053,0.049,0.078,0.082,0.074,0.061,0.071,0.066
145,0.066,0.067,0.087,0.064,0.067,0.072,0.066,0.064,0.086,0.077
150,0.073,0.056,0.058,0.07,0.052,0.084,0.061,0.069,0.075,0.073
155,0.062,0.055,0.056,0.074,0.08,0.058,0.067,0.073,0.07,0.057
160,0.049,0.069,0.067,0.062,0.074,0.062,0.073,0.073,0.06,0.077
165,0.082,0.065,0.072,0.065,0.042,0.07,0.062,0.053,0.062,0.073
170,0.063,0.043,0.062,0.058,0.066,0.068,0.056,0.058,0.067,0.043
175,0.06,0.063,0.07,0.066,0.079,0.062,0.067,0.062,0.057,0.066
180,0.065,0.059,0.068,0.048,0.059,0.061,0.061,0.059,0.06,0.072
185,0.064,0.066,0.052,0.066,0.053,0.057,0.075,0.047,0.063,0.054
190,0.057,0.067,0.061,0.063,0.079,0.069,0.065,0.063,0.062,0.073
195,0.064,0.059,0.062,0.064,0.056,0.053,0.069,0.058,0.064,0.066
200,0.05,0.061,0.072,0.048,0.049,0.074,0.068,0.048,0.069,0.054
205,0.063,0.064,0.064,0.062,0.058,0.05,0.053,0.062,0.064,0.068
210,0.059,0.04,0.055,0.057,0.064,0.048,0.045,0.053,0.042,0.076
215,0.061,0.058,0.054,0.061,0.061,0.065,0.063,0.06,0.045,0.052
220,0.058,0.062,0.059,0.052,0.058,0.068,0.057,0.068,0.061,0.048
225,0.059,0.056,0.055,0.057,0.049,0.07,0.051,0.059,0.049,0.064
230,0.06,0.045,0.056,0.049,0.061,0.045,0.063,0.066,0.054,0.053
235,0.049,0.069,0.06,0.055,0.06,0.06,0.053,0.053,0.056,0.056
240,0.059,0.056,0.061,0.053,0.062,0.065,0.046,0.058,0.049,0.068
245,0.051,0.046,0.053,0.054,0.061,0.047,0.063,0.059,0.044,0.076
250,0.062,0.05,0.043,0.046,0.052,0.06,0.054,0.04,0.058,0.061
255,0.056,0.055,0.059,0.048,0.051,0.048,0.062,0.056,0.049,0.053
260,0.052,0.052,0.058,0.048,0.054,0.062,0.058,0.065,0.047,0.069
265,0.053,0.034,0.048,0.054,0.052,0.049,0.041,0.038,0.055,0.067
270,0.054,0.053,0.052,0.052,0.061,0.061,0.039,0.047,0.055,0.05
275,0.051,0.054,0.066,0.042,0.047,0.049,0.053,0.057,0.058,0.067
280,0.054,0.053,0.05,0.053,0.045,0.056,0.054,0.047,0.051,0.053
285,0.037,0.045,0.04,0.05,0.05,0.045,0.054,0.051,0.05,0.048
290,0.047,0.05,0.048,0.048,0.048,0.055,0.051,0.057,0.036,0.052
295,0.046,0.056,0.034,0.052,0.05,0.039,0.047,0.048,0.048,0.05
300,0.046,0.042,0.048,0.061,0.046,0.043,0.053,0.046,0.033,0.045
305,0.058,0.063,0.051,0.05,0.049,0.046,0.044,0.043,0.044,0.038
310,0.045,0.041,0.051,0.052,0.059,0.05,0.054,0.047,0.039,0.044
315,0.051,0.059,0.038,0.044,0.045,0.047,0.037,0.052,0.051,0.049
320,0.045,0.038,0.043,0.05,0.05,0.048,0.049,0.05,0.052,0.042
325,0.04,0.046,0.042,0.05,0.042,0.045,0.054,0.042,0.059,0.052
330,0.045,0.049,0.044,0.06,0.053,0.045,0.049,0.045,0.043,0.051
335,0.049,0.044,0.047,0.044,0.043,0.053,0.039,0.053,0.038,0.044
340,0.05,0.037,0.042,0.047,0.04,0.039,0.043,0.053,0.061,0.05
345,0.048,0.052,0.062,0.046,0.031,0.046,0.04,0.043,0.041,0.044
350,0.039,0.029,0.045,0.049,0.058,0.046,0.044,0.046,0.042,0.042
355,0.054,0.043,0.055,0.048,0.045,0.046,0.044,0.059,0.052,0.054
360,0.036,0.035,0.034,0.051,0.041,0.062,0.044,0.048,0.039,0.04
365,0.054,0.043,0.039,0.036,0.052,0.045,0.036,0.044,0.044,0.039
370,0.038,0.043,0.038,0.041,0.06,0.038,0.039,0.044,0.043,0.039
375,0.037,0.042,0.038,0.036,0.038,0.04,0.046,0.041,0.048,0.045
380,0.05,0.05,0.04,0.041,0.042,0.033,0.037,0.038,0.037,0.043
385,0.042,0.031,0.039,0.039,0.048,0.041,0.048,0.038,0.044,0.037
390,0.052,0.034,0.043,0.042,0.045,0.059,0.041,0.042,0.047,0.047
395,0.035,0.039,0.045,0.041,0.044,0.037,0.04,0.046,0.054,0.054
400,0.055,0.039,0.04,0.044,0.053,0.04,0.033,0.056,0.035,0.055
405,0.047,0.051,0.047,0.048,0.042,0.041,0.029,0.047,0.048,0.041
410,0.051,0.043,0.036,0.046,0.044,0.042,0.046,0.043,0.054,0.041
415,0.034,0.038,0.038,0.037,0.032,0.04,0.042,0.046,0.041,0.048
420,0.05,0.046,0.056,0.045,0.048,0.045,0.054,0.049,0.038,0.041
425,0.047,0.034,0.045,0.047,0.039,0.036,0.041,0.041,0.038,0.043
430,0.042,0.036,0.044,0.047,0.037,0.041,0.045,0.04,0.045,0.04
435,0.035,0.043,0.044,0.042,0.032,0.047,0.047,0.051,0.039,0.05
440,0.035,0.043,0.035,0.037,0.047,0.04,0.035,0.04,0.042,0.047
445,0.039,0.038,0.053,0.039,0.041,0.038,0.047,0.039,0.045,0.035
450,0.032,0.036,0.047,0.052,0.055,0.043,0.05,0.035,0.044,0.038
455,0.04,0.049,0.038,0.029,0.044,0.041,0.039,0.038,0.046,0.042
460,0.036,0.055,0.042,0.031,0.045,0.043,0.047,0.03,0.043,0.043
465,0.04,0.041,0.039,0.043,0.039,0.039,0.045,0.052,0.045,0.034
470,0.037,0.046,0.035,0.032,0.04,0.039,0.038,0.03,0.045,0.037
