Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
5,0.291,0.311,0.34,0.331,0.334,0.299,0.323,0.323,0.318,0.322
10,0.278,0.287,0.282,0.252,0.293,0.275,0.261,0.271,0.246,0.291
15,0.235,0.205,0.218,0.22,0.241,0.226,0.233,0.233,0.232,0.234
20,0.18,0.19,0.191,0.184,0.179,0.205,0.18,0.175,0.176,0.162
25,0.147,0.167,0.162,0.153,0.176,0.188,0.164,0.174,0.169,0.161
30,0.179,0.127,0.132,0.161,0.17,0.151,0.13,0.154,0.161,0.156
35,0.154,0.165,0.125,0.149,0.136,0.137,0.163,0.136,0.152,0.14
40,0.14,0.136,0.143,0.136,0.135,0.12,0.14,0.123,0.138,0.135
45,0.132,0.126,0.127,0.122,0.121,0.116,0.136,0.116,0.124,0.159
50,0.116,0.108,0.126,0.103,0.097,0.137,0.116,0.123,0.106,0.105
55,0.128,0.116,0.101,0.117,0.139,0.11,0.131,0.131,0.107,0.111
60,0.092,0.125,0.127,0.098,0.109,0.109,0.119,0.101,0.107,0.115
65,0.12,0.097,0.104,0.102,0.097,0.102,0.125,0.091,0.103,0.099
70,0.085,0.105,0.107,0.112,0.115,0.106,0.085,0.109,0.105,0.101
75,0.097,0.092,0.1,0.101,0.097,0.105,0.098,0.096,0.107,0.101
80,0.118,0.092,0.104,0.094,0.1,0.084,0.114,0.098,0.104,0.092
85,0.095,0.11,0.091,0.112,0.104,0.097,0.081,0.063,0.084,0.085
90,0.084,0.09,0.095,0.092,0.078,0.09,0.072,0.098,0.08,0.095
95,0.096,0.092,0.071,0.09,0.084,0.09,0.084,0.083,0.102,0.077
100,0.102,0.071,0.082,0.084,0.081,0.089,0.09,0.093,0.081,0.065
105,0.08,0.081,0.085,0.102,0.077,0.085,0.088,0.083,0.077,0.104
110,0.088,0.085,0.09,0.087,0.072,0.074,0.087,0.088,0.092,0.079
115,0.074,0.081,0.074,0.091,0.076,0.078,0.08,0.086,0.078,0.069
120,0.065,0.076,0.087,0.071,0.071,0.097,0.08,0.067,0.087,0.086
125,0.083,0.058,0.075,0.065,0.072,0.064,0.064,0.072,0.07,0.067
130,0.078,0.083,0.084,0.073,0.068,0.075,0.063,0.069,0.083,0.069
