Dim,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10
5,0.37,0.26,0.3,0.31,0.3,0.33,0.28,0.36,0.36,0.34
6,0.37,0.31,0.29,0.28,0.29,0.24,0.36,0.35,0.31,0.35
7,0.25,0.27,0.27,0.24,0.24,0.21,0.28,0.3,0.25,0.34
8,0.33,0.2,0.3,0.31,0.23,0.3,0.28,0.38,0.28,0.25
9,0.3,0.22,0.2,0.25,0.29,0.27,0.27,0.31,0.36,0.25
10,0.2,0.18,0.3,0.28,0.2,0.28,0.27,0.32,0.24,0.29
11,0.23,0.29,0.24,0.22,0.24,0.25,0.21,0.24,0.21,0.25
12,0.22,0.21,0.18,0.31,0.16,0.34,0.31,0.23,0.29,0.23
13,0.19,0.28,0.18,0.28,0.21,0.25,0.27,0.24,0.23,0.23
14,0.29,0.21,0.31,0.25,0.18,0.21,0.22,0.19,0.16,0.21
15,0.2,0.22,0.13,0.23,0.17,0.18,0.25,0.28,0.19,0.28
16,0.19,0.16,0.14,0.2,0.16,0.25,0.19,0.17,0.18,0.16
17,0.18,0.16,0.16,0.16,0.2,0.19,0.22,0.18,0.19,0.18
18,0.16,0.21,0.1,0.19,0.2,0.17,0.2,0.31,0.24,0.21
19,0.17,0.18,0.14,0.16,0.24,0.22,0.21,0.18,0.19,0.19
20,0.15,0.18,0.17,0.17,0.19,0.25,0.13,0.2,0.22,0.16
21,0.21,0.11,0.2,0.23,0.21,0.22,0.15,0.13,0.16,0.23
22,0.16,0.23,0.21,0.21,0.16,0.14,0.17,0.17,0.13,0.26
23,0.17,0.24,0.19,0.18,0.25,0.16,0.21,0.2,0.16,0.16
24,0.23,0.17,0.14,0.17,0.18,0.1,0.22,0.1,0.19,0.16
25,0.17,0.12,0.18,0.14,0.15,0.13,0.18,0.15,0.13,0.16
26,0.14,0.16,0.15,0.18,0.15,0.15,0.18,0.14,0.17,0.12
27,0.14,0.16,0.15,0.06,0.24,0.2,0.21,0.13,0.18,0.13
28,0.14,0.14,0.09,0.14,0.12,0.17,0.14,0.22,0.2,0.18
29,0.13,0.17,0.14,0.13,0.17,0.17,0.09,0.15,0.15,0.2
30,0.14,0.16,0.19,0.16,0.14,0.16,0.1,0.15,0.16,0.16
31,0.1,0.14,0.18,0.18,0.16,0.21,0.12,0.16,0.17,0.16
32,0.13,0.18,0.15,0.15,0.15,0.16,0.16,0.12,0.18,0.13
33,0.14,0.17,0.19,0.13,0.21,0.13,0.17,0.12,0.13,0.12
34,0.1,0.17,0.15,0.19,0.15,0.13,0.17,0.19,0.15,0.17
35,0.12,0.22,0.1,0.09,0.11,0.16,0.11,0.2,0.11,0.15
36,0.17,0.12,0.11,0.13,0.14,0.12,0.13,0.17,0.16,0.12
37,0.16,0.1,0.16,0.09,0.11,0.14,0.15,0.16,0.12,0.11
38,0.13,0.15,0.09,0.13,0.11,0.1,0.15,0.2,0.16,0.18
39,0.14,0.12,0.14,0.17,0.13,0.08,0.12,0.18,0.1,0.14
40,0.13,0.12,0.11,0.12,0.14,0.1,0.1,0.12,0.12,0.12
41,0.06,0.13,0.12,0.16,0.14,0.11,0.12,0.09,0.09,0.08
42,0.09,0.17,0.09,0.13,0.16,0.12,0.13,0.18,0.13,0.15
43,0.1,0.12,0.19,0.12,0.18,0.16,0.18,0.13,0.11,0.11
44,0.1,0.13,0.12,0.13,0.09,0.04,0.14,0.14,0.16,0.13
45,0.19,0.11,0.07,0.18,0.13,0.15,0.12,0.05,0.09,0.17
46,0.11,0.11,0.09,0.13,0.13,0.1,0.08,0.2,0.12,0.13
47,0.06,0.17,0.15,0.1,0.11,0.13,0.09,0.11,0.13,0.16
48,0.15,0.09,0.18,0.12,0.12,0.1,0.1,0.13,0.08,0.13
49,0.09,0.13,0.12,0.15,0.16,0.14,0.11,0.12,0.12,0.17
50,0.11,0.07,0.09,0.09,0.14,0.1,0.1,0.08,0.07,0.17
51,0.15,0.12,0.12,0.1,0.11,0.13,0.14,0.14,0.15,0.06
52,0.15,0.06,0.11,0.08,0.12,0.06,0.11,0.14,0.14,0.09
53,0.12,0.21,0.08,0.13,0.11,0.11,0.1,0.13,0.14,0.09
54,0.09,0.07,0.05,0.06,0.17,0.11,0.1,0.15,0.1,0.12
55,0.12,0.14,0.15,0.12,0.15,0.12,0.1,0.11,0.08,0.12
56,0.17,0.1,0.1,0.1,0.11,0.15,0.14,0.11,0.09,0.14
57,0.15,0.11,0.08,0.17,0.13,0.16,0.08,0.13,0.09,0.1
58,0.13,0.17,0.11,0.09,0.11,0.1,0.09,0.16,0.1,0.08
59,0.13,0.07,0.08,0.1,0.12,0.1,0.15,0.05,0.06,0.09
60,0.13,0.14,0.09,0.11,0.09,0.14,0.05,0.12,0.15,0.07
61,0.1,0.08,0.1,0.16,0.07,0.1,0.09,0.12,0.12,0.08
62,0.1,0.12,0.13,0.15,0.12,0.08,0.1,0.12,0.14,0.04
63,0.08,0.16,0.13,0.11,0.07,0.14,0.15,0.05,0.07,0.16
64,0.09,0.14,0.1,0.12,0.1,0.07,0.08,0.11,0.06,0.12
65,0.13,0.1,0.1,0.12,0.15,0.05,0.16,0.09,0.2,0.12
66,0.1,0.11,0.1,0.15,0.08,0.13,0.1,0.09,0.12,0.13
67,0.06,0.16,0.13,0.09,0.08,0.06,0.1,0.07,0.13,0.08
68,0.06,0.11,0.11,0.11,0.15,0.09,0.09,0.09,0.13,0.07
69,0.1,0.11,0.12,0.15,0.11,0.09,0.1,0.14,0.08,0.12
70,0.06,0.16,0.13,0.1,0.12,0.11,0.12,0.14,0.1,0.1
71,0.09,0.11,0.1,0.06,0.11,0.16,0.09,0.11,0.1,0.11
72,0.1,0.12,0.09,0.07,0.06,0.07,0.05,0.09,0.12,0.12
73,0.1,0.15,0.04,0.11,0.08,0.14,0.11,0.1,0.13,0.08
74,0.09,0.07,0.05,0.03,0.1,0.13,0.1,0.13,0.09,0.12
75,0.14,0.08,0.11,0.05,0.07,0.06,0.08,0.06,0.11,0.11
76,0.09,0.14,0.09,0.11,0.09,0.15,0.08,0.13,0.09,0.09
77,0.08,0.15,0.13,0.1,0.06,0.07,0.11,0.13,0.08,0.17
78,0.1,0.07,0.08,0.06,0.07,0.12,0.18,0.1,0.08,0.08
79,0.07,0.09,0.09,0.15,0.09,0.07,0.09,0.11,0.12,0.11
80,0.09,0.05,0.07,0.08,0.11,0.12,0.07,0.11,0.1,0.09
81,0.11,0.08,0.12,0.11,0.12,0.13,0.12,0.13,0.06,0.11
82,0.09,0.13,0.11,0.05,0.08,0.03,0.08,0.06,0.08,0.09
83,0.06,0.1,0.19,0.09,0.09,0.17,0.14,0.14,0.08,0.09
84,0.09,0.09,0.11,0.12,0.1,0.07,0.07,0.09,0.09,0.14
85,0.12,0.08,0.12,0.06,0.08,0.16,0.07,0.1,0.08,0.05
86,0.08,0.11,0.11,0.08,0.08,0.06,0.09,0.15,0.13,0.07
87,0.12,0.08,0.06,0.14,0.06,0.16,0.1,0.09,0.1,0.09
88,0.11,0.07,0.07,0.08,0.06,0.12,0.09,0.08,0.09,0.15
89,0.05,0.07,0.11,0.17,0.07,0.14,0.06,0.09,0.09,0.11
90,0.09,0.08,0.11,0.09,0.11,0.05,0.09,0.1,0.1,0.11
91,0.1,0.09,0.08,0.09,0.07,0.13,0.1,0.09,0.14,0.14
92,0.13,0.12,0.07,0.13,0.08,0.07,0.08,0.08,0.07,0.11
93,0.18,0.1,0.09,0.11,0.04,0.06,0.08,0.11,0.07,0.08
94,0.05,0.08,0.11,0.16,0.06,0.1,0.08,0.07,0.1,0.08
95,0.08,0.06,0.12,0.1,0.07,0.05,0.12,0.09,0.09,0.04
96,0.07,0.08,0.07,0.09,0.1,0.05,0.11,0.09,0.14,0.13
97,0.06,0.09,0.05,0.1,0.1,0.09,0.14,0.07,0.11,0.1
98,0.09,0.1,0.07,0.1,0.06,0.06,0.07,0.08,0.08,0.07
99,0.07,0.05,0.12,0.13,0.05,0.09,0.06,0.09,0.11,0.07
100,0.02,0.07,0.09,0.07,0.09,0.08,0.07,0.08,0.07,0.08
